City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Southbridge,US,73.42,light rain,42.0751,-72.0334,Southbridge Hotel & Conference Center
434,Buala,SB,84.15,light rain,-8.145,159.5921,Maringe Lagoon Lodge
435,Palmer,US,73.81,broken clouds,42.1584,-72.3287,Wedgewood Motel
437,Ayia Galini,GR,77.4,clear sky,35.1,24.6833,Sunningdale Bungalows
440,Camopi,GF,71.85,light rain,3.1655,-52.3158,La pousada
441,Sayansk,RU,66.97,overcast clouds,54.1088,102.1648,Yubileynaya
442,Gizo,SB,83.98,overcast clouds,-8.103,156.8419,Imagination Island
443,Ginda,IN,70.95,few clouds,30.6945,78.4932,Sunil Bisht
444,Mustafakemalpasa,TR,68.05,clear sky,40.0353,28.4117,Sultan Hotel
445,Port-Gentil,GA,72.37,overcast clouds,-0.7193,8.7815,Fengshui Residence
446,Romitan,UZ,71.55,clear sky,39.9343,64.3814,Hotel Temur
447,Kirakira,SB,83.64,scattered clouds,-10.4544,161.9205,SanBiz Lodge
450,Lahat,ID,79.77,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
451,Quimperle,FR,69.75,clear sky,47.8667,-3.55,ibis Quimperlé
452,Port Keats,AU,75.24,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
453,Changping,CN,82.04,clear sky,40.2186,116.2197,Huachang Hotel
457,Vilhena,BR,67.98,broken clouds,-12.7406,-60.1458,Hotel Mirage
458,Sibolga,ID,80.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
462,Salo,IT,73.38,clear sky,45.6086,10.531,Park Hotel Casimiro Village - Blu Hotels
463,Kogon,UZ,71.64,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
464,Axim,GH,74.93,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
465,Celestun,MX,83.3,overcast clouds,20.8667,-90.4,Posada Lilia
467,Riviere-Du-Loup,CA,68.27,broken clouds,47.8304,-69.5342,Hôtel Universel
468,Kanniyakumari,IN,79.3,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
469,Barra Do Corda,BR,74.62,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
470,Saint-Pierre,RE,67.91,overcast clouds,-21.3393,55.4781,Alize Plage
471,La Paz Centro,NI,79.45,scattered clouds,12.34,-86.6753,Quinta Momotombo
473,Waterloo,CA,67.87,broken clouds,43.4668,-80.5164,The Walper Hotel
476,San Carlos,VE,70.2,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
477,Sao Miguel Do Araguaia,BR,72.07,clear sky,-13.275,-50.1628,Hotel Executivo Palace
479,Merrill,US,66.15,overcast clouds,45.1805,-89.6835,Prairie Motel
481,Paratinga,BR,72.97,few clouds,-12.6906,-43.1842,Pousada Magalhães 2
483,Adamovka,RU,71.46,clear sky,51.5223,59.9396,Gostinitsa
485,Zhigansk,RU,67.84,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
487,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
489,Tura,IN,81.95,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
490,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
491,Pathri,IN,71.74,moderate rain,19.25,76.45,Adam's Villa
494,Tampakan,PH,84.49,broken clouds,6.4442,124.9264,Green Palm Resort
496,Fayaoue,NC,77.92,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
498,Humaita,BR,73.11,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
499,Fukue,JP,82.76,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
502,Harper,LR,75.25,overcast clouds,4.375,-7.7169,Screensaver
504,Marrakesh,MA,78.87,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
506,Puerto Escondido,MX,79.43,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
507,Gharghoda,IN,81.54,overcast clouds,22.1667,83.35,Gokul Naik
508,Huntington,US,78.73,clear sky,38.4193,-82.4452,Ramada Limited Huntington
512,Alta Floresta,BR,75.07,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
515,Gondanglegi,ID,81.93,clear sky,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
516,Conway,US,78.6,broken clouds,35.0887,-92.4421,"Country Inn & Suites by Radisson, Conway, AR"
517,Krasnovishersk,RU,67.95,scattered clouds,60.4078,57.082,Vishera hotel
518,Nautla,MX,83.57,overcast clouds,20.2167,-96.7833,Casa Blanca
520,Manono,CD,70.23,clear sky,-7.3,27.4167,Hotel hewa bora
521,Shu,KZ,76.42,scattered clouds,43.5983,73.7614,Shyngyzkhan
523,Kapit,MY,74.62,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
525,Genhe,CN,66.99,overcast clouds,50.7833,121.5167,Companionship Hotel
527,Yarada,IN,79.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
528,Nenjiang,CN,77.92,overcast clouds,49.1833,125.2167,Nenjiang Apartment
529,Manoel Urbano,BR,79.18,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
532,Barnstaple,GB,65.98,broken clouds,51.0802,-4.0581,The Park Hotel
534,Sinnamary,GF,78.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
537,Oktyabrskiy,RU,70.47,few clouds,54.4815,53.471,Гостиница Октябрьская
538,Ferrol,ES,71.35,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
539,Mitchell,US,84.18,clear sky,43.7094,-98.0298,Kelly Inn & Suites
540,Dhidhdhoo,MV,81.93,overcast clouds,6.8833,73.1,Dhidhoo beach
541,Gat,IL,74.39,clear sky,31.61,34.7642,OlusHome
543,Lompoc,US,75.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
544,Santa Cruz,BO,65.66,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
547,Alihe,CN,67.68,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
548,Olean,US,72.28,clear sky,42.0776,-78.4297,Best Western Plus University Inn
553,Ishinomaki,JP,71.69,light rain,38.4167,141.3,Ishinomaki Grand Hotel
554,Ajdabiya,LY,75.33,clear sky,30.7554,20.2263,Almadina Hotel
555,Itaueira,BR,78.64,few clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
558,Zhangjiakou,CN,81.59,scattered clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
561,Wilmington,US,81.86,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
562,Osmena,PH,83.32,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
566,Dengzhou,CN,73.45,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
568,Luganville,VU,83.97,broken clouds,-15.5333,167.1667,The Espiritu Hotel
569,Ngemplak,ID,81.39,scattered clouds,-7.5497,110.7164,Santana Syariah Guest House
571,Narsimhapur,IN,79.9,overcast clouds,22.95,79.2,Hotel Pratap Palace
573,Buchanan,LR,75.36,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
574,Sambava,MG,69.71,light rain,-14.2667,50.1667,Melrose
575,Jiancheng,CN,80.22,light rain,30.391,104.5491,Jianyang Celebrity City Hotel
577,Cangzhou,CN,83.98,broken clouds,38.3167,116.8667,Jinji Express Hotel
578,Sarkand,KZ,71.15,overcast clouds,45.41,79.9186,Гостиница Сарканд
579,Sainte-Marie,RE,69.96,few clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
580,Kikwit,CD,71.13,clear sky,-5.041,18.8162,HOTEL PLACE YALABA
581,Urucara,BR,78.31,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
583,Fairbanks,US,78.76,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
590,Jacareacanga,BR,80.89,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
593,Hernani,ES,70.86,clear sky,43.2662,-1.9762,Ibiltze
594,Lazaro Cardenas,MX,81.27,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
597,Meadow Lake,US,80.35,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
599,Uray,RU,66.09,light rain,60.1247,64.7758,Hotel Pioner
600,Shimoda,JP,76.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
601,Kaita,JP,84.0,scattered clouds,34.3667,132.55,Kaita Central Hotel
603,Kyren,RU,67.55,clear sky,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
604,Delijan,IR,80.19,clear sky,33.9905,50.6838,ایزوگام آسیاگستر
605,Mikun,RU,66.54,overcast clouds,62.3547,50.0771,"Gostinnitsa ""Mayak"""
606,Newport,GB,67.44,broken clouds,51.5877,-2.9984,ibis budget Newport
607,Beidao,CN,69.94,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
608,Mackenzie,CA,66.42,overcast clouds,55.2999,-123.1698,Hilton Shop
609,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
610,Caorle,IT,69.76,few clouds,45.5966,12.8758,Maxim
611,Usinsk,RU,71.83,scattered clouds,65.9939,57.5281,Dobro Pozhalovaty
613,Inhambane,MZ,66.79,clear sky,-23.865,35.3833,Oceano
616,Meulaboh,ID,80.73,broken clouds,4.1363,96.1285,Kost Pria
617,Cehegin,ES,72.12,scattered clouds,38.0924,-1.7985,Apartamentos Begastri
618,San Quintin,MX,67.01,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
619,Pringsewu,ID,80.53,overcast clouds,-5.3582,104.9744,Urban Style by Front One
620,Dyurtyuli,RU,68.47,overcast clouds,55.4911,54.8688,Гостиница «Дюртюли»
