City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Taber,CA,2022-07-10 02:54:22,49.8167,-112.1518,77.85,66,99,3.44
68,Dikson,RU,2022-07-10 02:54:23,73.5069,80.5464,32.74,96,96,7.96
69,Mackay,AU,2022-07-10 02:54:23,-21.15,149.2,68.68,47,0,10.16
70,Chapais,CA,2022-07-10 02:54:23,49.7834,-74.8492,55.18,58,5,4.38
71,Saskylakh,RU,2022-07-10 02:54:24,71.9167,114.0833,54.39,62,99,6.13
72,Asyut,EG,2022-07-10 02:54:24,27.181,31.1837,80.78,34,6,5.93
73,Dickinson,US,2022-07-10 02:54:25,29.4608,-95.0513,91.13,77,21,5.01
74,Novyy Urengoy,RU,2022-07-10 02:54:25,66.0833,76.6333,64.18,57,10,8.34
75,Butaritari,KI,2022-07-10 02:54:25,3.0707,172.7902,82.02,78,25,12.71
76,Kudahuvadhoo,MV,2022-07-10 02:54:26,2.6708,72.8944,82.33,74,91,11.81
77,Ahuimanu,US,2022-07-10 02:54:26,21.4447,-157.8378,83.34,71,75,14.97
78,Raudeberg,NO,2022-07-10 02:54:27,61.9875,5.1352,47.07,81,100,7.76
79,Georgetown,MY,2022-07-10 02:54:27,5.4112,100.3354,87.73,80,20,3.44
80,Longhua,CN,2022-07-10 02:54:27,23.6137,114.1919,91.67,60,30,3.09
81,Burgeo,CA,2022-07-10 02:54:28,47.6167,-57.6152,51.75,89,2,13.49
82,Kapaa,US,2022-07-10 02:54:28,22.0752,-159.319,82.38,77,70,8.99
83,Pokhara,NP,2022-07-10 02:53:20,28.2333,83.9833,79.14,80,96,4.0
84,Mar Del Plata,AR,2022-07-10 02:54:29,-38.0023,-57.5575,56.08,95,100,4.61
85,Sena Madureira,BR,2022-07-10 02:54:29,-9.0656,-68.6569,75.06,68,9,1.39
86,Dzaoudzi,YT,2022-07-10 02:54:30,-12.7887,45.2699,75.09,73,75,16.11
87,Esperance,AU,2022-07-10 02:54:30,-33.8667,121.9,59.99,58,3,23.49
88,Nikolskoye,RU,2022-07-10 02:54:30,59.7035,30.7861,62.87,90,88,2.24
89,Santa Cruz Verapaz,GT,2022-07-10 02:54:31,15.3667,-90.4333,60.22,98,57,0.85
90,Bredasdorp,ZA,2022-07-10 02:54:31,-34.5322,20.0403,49.23,84,0,3.56
91,Caraguatatuba,BR,2022-07-10 02:55:32,-23.6338,-45.4899,63.03,96,70,3.76
92,El Salto,MX,2022-07-10 02:55:32,20.3333,-104.5,63.86,92,49,3.49
93,Santiago De Cao,PE,2022-07-10 02:55:33,-7.9589,-79.2392,60.93,88,100,10.36
94,Tazovskiy,RU,2022-07-10 02:55:33,67.4667,78.7,51.6,69,13,8.1
95,Taltal,CL,2022-07-10 02:55:33,-25.4,-70.4833,57.29,78,77,4.23
96,Norman Wells,CA,2022-07-10 02:55:34,65.282,-126.8329,77.04,44,75,6.91
97,Itaberai,BR,2022-07-10 02:55:34,-16.0203,-49.8103,64.2,49,0,5.39
98,Alice Springs,AU,2022-07-10 02:55:35,-23.7,133.8833,54.95,38,0,16.11
99,Lorengau,PG,2022-07-10 02:55:35,-2.0226,147.2712,85.1,66,88,10.76
100,Swan Hill,AU,2022-07-10 02:50:40,-35.3378,143.5544,58.32,48,0,7.43
101,Jutai,BR,2022-07-10 02:55:36,-5.1833,-68.9,73.09,96,100,2.19
